"設置位置ID","オーダーID","セクタ管理番号","ベンダー","ANT_NO","Transmitter_Name","RAN種別","BBT_CODE_加入DFGC","作業番号","帯域","BAND","BBU_sys","GPSフラグ"
"QG-00553","R001755594","GPS","","1","GPS佐世保重尾南","XGM","86-013","","","GPS","BC02","1"
"QG-00554","R001758417","GPS","","1","GPS東坂元","XGM","84-006","","","GPS","BC02","1"
"QG-00555","R001762117","GPS","","1","GPS博多浦田","SGM","87-067","","","GPS","FC-01","1"
"QG-00556","R001762118","GPS","","1","GPS大野城中","SGM","87-067","","","GPS","FC-02","1"
"QG-00557","R001762119","GPS","","1","GPS福岡羽根戸","SGM","87-036","","","GPS","FC-01","1"
"QG-00558","R001762160","GPS","","1","GPS早良田村Ｃ","SGM","87-036","","","GPS","FC-02","1"
"QG-00561","R001762163","GPS","","1","GPS城南神松寺","XGM","87-039","","","GPS","BC01","1"
"QG-00562","R001762164","GPS","","1","GPS福岡南片江","XGM","87-039","","","GPS","BC02","1"
"QG-00563","R001762165","GPS","","1","GPS篠栗尾仲Ｂ","XGM","87-073","","","GPS","BC01","1"
"QG-00564","R001762166","GPS","","1","GPS篠栗尾仲","XGM","87-073","","","GPS","BC02","1"
"QG-00565","R001762167","GPS","","1","GPS若松童子丸","SGM","87-006","","","GPS","FC-01","1"
"QG-00567","R001762169","GPS","","1","GPS福岡早良","XGM","87-041","","","GPS","BC01","1"
"QG-00568","R001762170","GPS","","1","GPS早良東入部","XGM","87-041","","","GPS","BC02","1"
"QG-00570","R001762172","GPS","","1","GPS福岡蒲田","SGM","87-025","","","GPS","FC-01","1"
"QG-00571","R001762173","GPS","","1","GPS福岡三宅","XGM","87-033","","","GPS","BC01","1"
"QG-00572","R001762174","GPS","","1","GPS福岡長丘","XGM","87-033","","","GPS","BC02","1"
"QG-00573","R001762175","GPS","","1","GPS中間中尾","SGM","87-061","","","GPS","FC-01","1"
"QG-00574","R001762176","GPS","","1","GPS中間通谷","SGM","87-061","","","GPS","FC-02","1"
"QG-00575","R001762177","GPS","","1","GPS福津宮司","SGM","87-081","","","GPS","FC-01","1"
"QG-00576","R001762178","GPS","","1","GPS福津生家Ｂ","SGM","87-081","","","GPS","FC-02","1"
"QG-00577","R001762179","GPS","","1","GPS福岡東平尾","XGM","87-024","","","GPS","BC01","1"
"QG-00579","R001762181","GPS","","1","GPS八幡西養福寺町","SGM","87-020","","","GPS","FC-01","1"
"QG-00580","R001762182","GPS","","1","GPS八幡西大平","SGM","87-020","","","GPS","FC-02","1"
"QG-00581","R001762183","GPS","","1","GPS八幡東中尾","SGM","87-016","","","GPS","FC-01","1"
"QG-00582","R001762184","GPS","","1","GPS八幡東勝山","SGM","87-016","","","GPS","FC-02","1"
"QG-00583","R001762185","GPS","","1","GPS福岡箱崎Ｂ","XGM","87-022","","","GPS","BC01","1"
"QG-00586","R001762188","GPS","","1","GPS春日市上白水","XGM","87-030","","","GPS","BC01","1"
"QG-00587","R001762189","GPS","","1","GPS大野城つつじケ丘","SGM","87-066","","","GPS","FC-01","1"
"QG-00588","R001762190","GPS","","1","GPS春日惣利","SGM","87-066","","","GPS","FC-02","1"
"QG-00589","R001762191","GPS","","1","GPS福岡白金","XGM","87-032","","","GPS","BC01","1"
"QG-00590","R001762192","GPS","","1","GPS福岡高宮","XGM","87-032","","","GPS","BC02","1"
"QG-00591","R001762193","GPS","","1","GPS福岡姪の浜Ｃ","XGM","87-035","","","GPS","BC01","1"
"QG-00592","R001762194","GPS","","1","GPS福岡石丸","XGM","87-035","","","GPS","BC02","1"
"QG-00597","R001762199","GPS","","1","GPS熊本長嶺南","SGM","82-013","","","GPS","FC-01","1"
"QG-00599","R001762201","GPS","","1","GPS熊本平山町","SGM","82-169","","","GPS","FC-01","1"
"QG-00601","R001762203","GPS","","1","GPS大分大在中央","SGM","85-016","","","GPS","FC-01","1"
"QG-00602","R001762204","GPS","","1","GPS大分木田","SGM","85-016","","","GPS","FC-02","1"
"QG-00603","R001762205","GPS","","1","GPS大分津守","SGM","85-008","","","GPS","FC-01","1"
"QG-00605","R001762207","GPS","","1","GPS大分市","SGM","85-011","","","GPS","FC-01","1"
"QG-00606","R001762208","GPS","","1","GPS大分上宗方","SGM","85-011","","","GPS","FC-02","1"
"QG-00607","R001762209","GPS","","1","GPS別府鶴見","XGM","85-018","","","GPS","BC01","1"
"QG-00608","R001762210","GPS","","1","GPS別府市内竈","XGM","85-018","","","GPS","BC02","1"
"QG-00609","R001762211","GPS","","1","GPS浦添牧港","XGM","91-017","","","GPS","BC01","1"
"QG-00610","R001762212","GPS","","1","GPS浦添沢岻","XGM","91-017","","","GPS","BC02","1"
"QG-00613","R001762215","GPS","","1","GPS宜野湾大謝名","SGM","91-008","","","GPS","FC-01","1"
"QG-00614","R001762216","GPS","","1","GPS宜野湾嘉数","SGM","91-008","","","GPS","FC-02","1"
"QG-00617","R001762219","GPS","","1","GPS宜野湾新城","XGM","91-009","","","GPS","BC01","1"
